"Nome da instituição/unidade";"Tipo de Logradouro";"Nome do Logradouro";"Número no Logradouro";"Complemento";"Bairro";"CEP";"Estado";"Municipio";"Latitude";"Longitude";"Telefone 1";"Telefone 2";"E-mail ";"Público atendido pela instituição";"A instituição atende algum outro público específico?";"Qual?";"Sexo do público atendido";"Modalidade de internação";;
"ANDEQ - Associação Norte de Dependência Química";"Estrada";"Vereador Norberto Vieira de Diniz";2380;;"Ressaca";"06724-100";"São Paulo";"Cotia - São Paulo";"-23,6469989052";"-46,9559355435";"(11) 7866-8185";;"pedro@andeq.com.br";"Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Associação Casa Ágape - Sede Operacional";"Estrada";"Municipal do Batedor";"s/n";;"Batedor";"12701-000";"São Paulo";"Cruzeiro - São Paulo";"-22,5561053921";"-44,9928344416";"(12) 3143-5478";"(12) 3143-5478";"contato@casaagape.com.br";"Adultos";"Não";;"Masculino";"Voluntária";;
"Associação Casa Ágape - Sede Administrativa";"Rua";"Doutor Celestino";998;;"Centro";"12701-230";"São Paulo";"Cruzeiro - São Paulo";"-22,573465";"-44,961086";"(12) 3143-5478";"(12) 3143-8018";"contato@casaagape.com.br";"Adultos";"Não";;"Masculino";"Voluntária";;
"Casa do Povo de Deus";"Rua";"Paraiba";670;;"Vila Nova";"11525-110";"São Paulo";"Cubatão - São Paulo";"-23,8632248336";"-46,4159969464";"(13) 3361-2367";;;"Adultos";;;"Masculino";"Voluntária";;
"Associação Santana - Comunidade Terapêutica para Dependentes Químicos e de Álcool";"Rua";"Coronel Macedo";41;;"Centro";"12530-000";"São Paulo";"Cunha - São Paulo";"-23,0743726";"-44,9584376";"(12) 9738-5077";"(12) 9775-4658";;"Adultos";"Não";;"Masculino";"Voluntária";;
"Associação Santana - Comunidade Terapêutica para Dependentes Químicos e de Álcool";"Estrada";"do Jaguarão";"s/n";"a 5 km da rodovia Paulo Virgínio";"km 32";"12530-000";"São Paulo";"Cunha - São Paulo";"-23,0496426493";"-44,9893744182";"(12) 9738-5077";"(12) 9775-4658";"comsantana.cunha09@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"clínica via saúde-via saúde clínica de reabilitação química lida";"Rua";"Felipe Giangola";92;;"Vila Municipal";"13690-000";"São Paulo";"Descalvado - São Paulo";"-21,9052383";"-47,6123607";"(19) 3583-2595";;;"Adultos";;;"Feminino - Masculino";"Voluntária";;
"centro de reabilitação universo";"Estrada";"Vicinal Porto Ferreira";"Km 106";;"Butiá";"13690-000";"São Paulo";"Descalvado - São Paulo";"-21,9216506737";"-47,6045462071";"(19) 3585-3317";"(19) 3583-4157";"dag.moraes@hotmail.com";"Crianças - Adolescentes - Adultos - Idosos";"Não";;"Feminino - Masculino";"Voluntária";;
"Clinica Despertar";"Estrada";"Vicinal Vito Gaia Puoli";"sn";;"Vicinal";"13690-000";"São Paulo";"Descalvado - São Paulo";"-21,9225647";"-47,5995397";"(19) 3593-1397";;"contato@clinicadespertar.com.br";"Adolescentes - Adultos";"Não";;"Feminino - Masculino";"Voluntária - Involuntária";;
"descalvado ajudando na recuperação da vida";"Rua";"professor Ferreira Paulinio";"s/n";;"Butiá";"13660-970";"São Paulo";"Descalvado - São Paulo";"-21,9066442036";"-47,5847173455";"(19) 3596-1613";;;"Adolescentes - Adultos";"Não";;"Feminino - Masculino";"Voluntária";;
"Ame Vida Comunidade Terapêutica Ltda.";"Avenida";"Descalvado";266;;"Vila";"13690-000";"São Paulo";"Descalvado - São Paulo";"-21,914886";"-47,6169201";"(19) 3593-1425";;"amevidaclinica@hotmail.com";"Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Pousada Bom Samaritano";"Estrada";"Municipal Dracena a Junqueirópolis";"s/n";"km 4 - Zona Rural";"das Palmeiras";"17900-000";"São Paulo";"Dracena - São Paulo";"-21,4503414345";"-51,5088703725";"(18) 3823-5022";"(18) 3821-1095";"atendimento@pousadabomsamaritano.org.br";"Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Comunidade Terapêutica Missão Vida";"Condomínio";"Santa Lima";45;;"Sítio Três Poderes";"17470-000";"São Paulo";"Duartina - São Paulo";"-22,4173762266";"-49,4048309326";"(14) 3324-8938";;"ctmissaovida@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária - Involuntária - Compulsória";;
"Comunidade Terapeutica Vida";"Rua";"águas marinhas";14;;"chacara santa barbara";"06845-000";"São Paulo";"Embu - São Paulo";"-23,6436318";"-46,8793021";"(15) 3418-7530";;;"Adultos";"Não";;"Feminino";"Voluntária - Involuntária";;
"Unidade para tratamento feminino Embu";"Rua";"Águas Marinhas";14;;"Embu";"06840-295";"São Paulo";"Embu - São Paulo";"-23,6436318";"-46,8793021";"(11) 4704-4999";;"contato@ctviva.com.br";"Adolescentes - Adultos - Idosos";"Não";;"Feminino";"Voluntária - Involuntária - Compulsória";;
"Associação Crescer no Amor";"Avenida";"Dr. Jorge Balduzzi";375;;"Mimás";"06807-460";"São Paulo";"Embu - São Paulo";"-23,618213";"-46,8154608";"(11) 4704-3300";;"ctca.crescernoamor@gmail.com";"Adultos - Idosos";"Não";;"Feminino - Masculino";"Voluntária";;
"comunidade conquista unidade 7";"Estrada";"cuarilancuarilã";2007;;"nomeaça";"06900-000";"São Paulo";"Embu-Guaçu - São Paulo";"-23,8338202357";"-46,812987546";"(11) 9332-5439";;;"Adultos";"Não";;"Masculino";"Voluntária";;
"Luz nascente Comunidade";"Rua";"xu";217;;"Paial Velho";"06900-000";"São Paulo";"Embu-Guaçu - São Paulo";"-23,8868201316";"-46,8215019566";"(11) 4238-4929";;;"Adultos - Idosos";;;"Masculino";"Voluntária";;
"centro de recuperação aliança crista";"Rua";"do moinho";69;;"cepo guaçu";"06900-000";"São Paulo";"Embu-Guaçu - São Paulo";"-23,878638";"-46,787253";"(11) 8220-5697";"(11) 5697-6764";;"Adultos - Idosos";;;"Masculino";"Voluntária";;
"comunidade terapeutica casa familia";"Rodovia";"Bento Rotger Domingues";650;"divisa Embu/itapecira";"Itaue";"06900-000";"São Paulo";"Embu-Guaçu - São Paulo";"-23,7905636";"-46,8321864";"(11) 4667-4334";"(11) 5135-5792";"projetocasafamilia@hotmail.com";"Adultos";;;"Masculino";"Voluntária";;
"Comunidade Terapêutica Acolhida";"Estrada";"Jieza";7;;"parque novo auete";"06900-000";"São Paulo";"Embu-Guaçu - São Paulo";"-21,8020364666";"-51,4783454903";"(11) 4661-5015";"(11) 7748-7970";;"Adultos - Idosos";;;"Feminino - Masculino";"Voluntária - Involuntária - Compulsória";;
"Comunidade Terapêutica Acolhida";"Estrada";"de Jaceguava";3;;"Lagoa Granda";"06900-000";"São Paulo";"Embu-Guaçu - São Paulo";"-23,8422005";"-46,7840857";"(11) 4661-5015";"(11) 7748-7970";"caio.takeda@gmail.com";"Crianças - Adolescentes - Adultos - Idosos";"Não";;"Feminino - Masculino";"Voluntária - Involuntária";;
"comunidade restauração oreuce";"Sítio";"recanto da primavera";"s/n";;"Ahumas";"13857-000";"São Paulo";"Estiva Gerbi - São Paulo";"-22,273497342";"-46,9529722558";"(19) 9850-6549";"(19) 9720-3289";"comunidadedeorelce@yahoo.com.br";"Adultos";"Não";;"Masculino";"Voluntária";;
"centro de recuperaçao de vidas atos dos apostolos";"Rua";"francisco da costa";5000;;"cambiri";"08512-100";"São Paulo";"Ferraz de Vasconcelos - São Paulo";"-23,5682864675";"-46,3639712717";"(11) 2884-7646";;;"Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"AMAMASC - Associação Mão Amiga de Amparo Masculino";"Rua";"Walter Barbosa";2991;"prox a ponte do luiza";"Jardim Luiza I";"14407-580";"São Paulo";"Franca - São Paulo";"-20,4910542";"-47,4213969";"(16) 3723-9636";"(16) 9101-4566";;"Adolescentes - Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"AMAFEM - Associação Mão Amiga de Amparo Feminino";"Rua";"Walter Barbosa";2991;"proximo a ponte do luiza";"Jardim Luiza I";"14407-580";"São Paulo";"Franca - São Paulo";"-20,4910542";"-47,4213969";"(16) 3723-9636";"(16) 9101-4566";"amafemfranca@gmail.com";"Crianças - Adolescentes - Adultos - Idosos";"Não";;"Feminino";"Voluntária";;
"Associação núcleo de apoio e recuperação de vida";"Rua";"das pracinhas";820;;"residencial paraiso";"14403-160";"São Paulo";"Franca - São Paulo";"-20,5628919";"-47,4039745";"(16) 3702-8602";;"atendimento@nares.com.br";"Adolescentes - Adultos - Idosos";"Sim";"cadeirantes,H.I.V positivo e Homossexual";"Masculino";"Voluntária";;
"Associação Mão Amiga Recanto Janaina";"Rua";"Ouvidor Freire";2090;"Sala 15";"Centro";"14400-630";"São Paulo";"Franca - São Paulo";"-20,5348796";"-47,4023395";"(16) 3721-3623";"(16) 9999-0582";"recantojanaina@gmail.com";"Adolescentes - Adultos";"Não";;"Masculino";"Voluntária";;
"Associação Mão Amiga Recanto Janaina";"Rua";"Emiliano de Cavalcante";400;;"Recreio Campo Belo";"14409-406";"São Paulo";"Franca - São Paulo";"-20,4941765";"-47,3944947";"(16) 3721-3623";"(16) 9999-0582";;"Adolescentes - Adultos";"Não";;"Masculino";"Voluntária";;
"DCNOVI – Desafio Cristão Nova Vida";"Rodovia";"Tancredo Neves";"s/n";"km 07";"Fazenda Santa Paula";"14400-000";"São Paulo";"Franca - São Paulo";"-20,5418288293";"-47,420425415";"(16) 3722-0933";"(16) 3017-3652";"dc_novi@netisite.com.br";"Adultos";"Sim";"adolescentes por determinação judicial e moradores de rua";"Masculino";"Voluntária";;
"DCNOVI – Desafio Cristão Nova Vida";"Rua";"Nabi Haber";419;;"São José";"14401-286";"São Paulo";"Franca - São Paulo";"-20,5361502";"-47,3895142";"(16) 3722-0933";"(16) 3017-3652";"dc_novi@netisite.com.br";;"Não";;;;;
"Instituto Bom Samaritano";"Rua";"Deputado Jõao de Faria";1333;;"Santo Antônio";"14580-000";"São Paulo";"Guará - São Paulo";"-20,4314138";"-47,8180001";"(16) 3831-3761";"(16) 9150-8149";"paulo.paulada77@hotmail.com";"Crianças - Adolescentes - Adultos - Idosos";"Não";;"Feminino - Masculino";"Voluntária";;
"Fazenda Esperança";"Rua";3;460;;"capituba";"12510-470";"São Paulo";"Guaratinguetá - São Paulo";"-22,7948915567";"-45,2169849978";"(12) 3128-8700";;"guara.m@fazenda.org.br";"Adolescentes - Adultos";"Não";;"Masculino";"Voluntária";;
"Fazenda Esperança unidade feminina";"Rua";"Alexandrina Ferreira Leite";204;;"jardim são manoel";"12512-310";"São Paulo";"Guaratinguetá - São Paulo";"-22,773483";"-45,2117173";"(12) 3128-6280";;;"Crianças - Adolescentes - Adultos";"Sim";"crianças que ficam com as mães durante o periodo de tratamento";"Feminino";"Voluntária";;
"Fazenda Esperança unidade masculina - Pedrinhas";"Estrada";"Municipal";300;;"Taquaral";"12510-470";"São Paulo";"Guaratinguetá - São Paulo";"-22,7885612407";"-45,2350952731";"(12) 3128-2707";;"pedrinhas.m@fazenda.org.br";"Adolescentes - Adultos";"Não";;"Masculino";"Voluntária";;
"Fazenda Esperança - setor administrativo";"Rua";"Tupinambás";520;;"Pedregulho";"12515-190";"São Paulo";"Guaratinguetá - São Paulo";"-22,7995970661";"-45,1997035252";"(12) 3128-8800";"(12) 3128-8700";"dep.servsocial@fazenda.org.br";"Crianças - Adolescentes - Adultos";"Sim";"HIV  Abrigo criança/adolescente-familias carentes";"Feminino - Masculino";"Voluntária";;
"Fazenda Esperança - Escritório da família da esperança";"Rua";"João Francisco dos Santos";970;;"Santa Edwirges";"12500-970";"São Paulo";"Guaratinguetá - São Paulo";"-22,8230578983";"-45,1596500979";"(12) 3128-2920";"(12) 3128-8700";"secretaria@fazenda.org.br";;"Sim";"familias que realizam trabalho voluntario p/ a fazenda,em geral ex residentes";"Feminino - Masculino";"Voluntária";;
"comunidade esperança";"Rua";"alegario inacio de almeida";46;;"costa barros";"18250-000";"São Paulo";"Guareí - São Paulo";"-23,3690319492";"-48,1814366055";"(15) 3258-1804";;"comunidadeterapeuticaesperança@hotmail.com";"Adultos";"Não";;"Feminino - Masculino";"Voluntária - Involuntária";;
"presidente";"Rua";"Benedito Boaventura";69;;"Santa Rosa 3";"11431-420";"São Paulo";"Guarujá - São Paulo";"-24,0000596";"-46,2780004";"(13) 3304-4004";;"rogerio@thalitacumi.com.br";"Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"republica da vida e prevenção e auxilio comunitário ao toxico mono";"Avenida";"Adhemar de Barros";777;;"Santo Antonio";"11430-000";"São Paulo";"Guarujá - São Paulo";"-23,9959722852";"-46,2873156887";"(13) 3386-5211";;"republicadavida@terra.com.br";"Adolescentes - Adultos";"Não";;"Masculino";"Voluntária";;
"Comunidade Terapêutica Feminina Recanto Renascer";"Avenida";"dos Caiçaras";240;"Praia do Tombo";"Jardim Las Palmas";"11420-440";"São Paulo";"Guarujá - São Paulo";"-23,9993198";"-46,2741316";"(13) 3353-2404";"(13) 4102-1448";"recantorenascer.gja@hotmail.com";"Adultos - Idosos";"Sim";"gestantes";"Feminino";"Voluntária";;
"Associação SOS Família São Geraldo - Centro de Reabilitação Nova Gerão";"Alameda";"Amélia";648;;"Opoúva";"07092-010";"São Paulo";"Guarulhos - São Paulo";"-23,4618355";"-46,5455563";"(11) 2404-4500";"(11) 2358-3301";;"Adolescentes";"Não";;"Masculino";"Voluntária";;
"associaçao remas do brasil";"Rua";"padre jose alves";548;;"vila renala";"07001-970";"São Paulo";"Guarulhos - São Paulo";"-23,4630934208";"-46,5664556321";"(11) 2086-2317";;;"Adultos";"Não";;"Feminino - Masculino";"Voluntária";;
"Comunidade Terapeutica Casa dia Bonsucesso";"Rua";"Lagoa Mundai";670;"Condominio Orquideana";"Água Azul";"07159-250";"São Paulo";"Guarulhos - São Paulo";"-23,3597924681";"-46,3906562399";"(11) 2436-1384";;;"Adolescentes - Adultos - Idosos";;;"Masculino";"Voluntária";;
"Associação SOS Família São Geraldo";"Rua";"Pedro Angelo Janitelli";37;;"Ponte Grande";"07032-260";"São Paulo";"Guarulhos - São Paulo";"-23,5045145";"-46,5490777";"(11) 2421-0296";"(11) 2421-0505";;"Crianças - Adultos - Idosos";"Sim";"crianças através da creche";" pessoas em condição de rua";"Feminino - Masculino";"Voluntária";
"associação kaidh eli shadad";"Rua";"hjlmr";807;;"parque hortolandia";"13183-000";"São Paulo";"Hortolândia - São Paulo";"-22,8722792";"-47,2218441";"(19) 3865-2322";"(19) 3503-1265";"clinica.cedeq@uol.com.br";"Adultos - Idosos";"Não";;"Masculino";"Voluntária - Involuntária - Compulsória";;
"Clínica Evolução Humana";"Rua";"Pastor Hugo Gegembauer";417;;"Parque Hortolândia";"13184-010";"São Paulo";"Hortolândia - São Paulo";"-22,8769513";"-47,2263232";"(19) 3504-1528";"(19) 9825-2748";"contato@clinicaevoluçaohumana.com.br";"Adolescentes - Adultos - Idosos";"Não";;"Masculino";"Voluntária - Involuntária - Compulsória";;
"Associação Promocional CADEF";"Rodovia";"Bunjiro Nakao";"s/n";"km 83,5";"colegio";"18150-000";"São Paulo";"Ibiúna - São Paulo";"-23,6858158933";"-47,2520602953";"(15) 3289-7136";;"cadef@comunidadecadef.com.br";"Adultos";"Não";;"Masculino";"Voluntária";;
"Comunidade Terapêutica Projeto Crer";"Rodovia";"Bunjiro Nakao";"s/n";"km 83,5";"cocais ou colegio";"18150-000";"São Paulo";"Ibiúna - São Paulo";"-23,6601404861";"-47,1962542545";"(15) 3289-7127";;"contato@estanciamorrogrande.com.br";"Adultos";"Não";;"Masculino";"Voluntária";;
"Comunidade Terapêutica Temperança e Saúde";"Estrada";"do Bom Sucesso";"s/n";;"do Bom Sucesso";"12350-000";"São Paulo";"Igaratá - São Paulo";"-23,2069447548";"-46,1557959405";"(11) 4658-9220";;"robertoguarda1962@gmail.com";"Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Obra Social Nossa Senhora da Glória Fazenda Da Esperança Senhor Bom Jesus";"Praça";"Basilica";14;"Caixa Postal 04";"Centro";"11920-000";"São Paulo";"Iguape - São Paulo";"-";"-";"(13) 3841-4848";;"iguapa.m@fazenda.org.br";"Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"comunidade farol";"Estrada";"belchior";980;;"rural";"13330-970";"São Paulo";"Indaiatuba - São Paulo";"-23,0886868623";"-47,2232442943";"(19) 3835-1020";;"to-brasil@hotmail.com";"Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Comunidade Terapêutica Cristo Vive";"Estrada";"Do Mampo";122;;"Mato Dentro";"13330-000";"São Paulo";"Indaiatuba - São Paulo";"-";"-";"(19) 9186-1673";;"lorislima@ig.com.br";"Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Instituto Nova Vida";"Estrada";"Da Badim";1650;;"Indaiatuba";"13343-815";"São Paulo";"Indaiatuba - São Paulo";"-23,1226374";"-47,2447103";"(19) 3894-6972";;"nova.vida.indaiatuba@gmail.com";"Adolescentes - Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Paz e Vida";"Sítio";"Esperança";"s/n";;"Laranjal";"18730-000";"São Paulo";"Itaí - São Paulo";"-23,4272964677";"-49,0986316197";"(14) 9658-7973";;;"Adolescentes - Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"comunidade beneficio dadiva";"Rua";"José Augusto Rodrigues";270;;"parque Novaro";"11740-000";"São Paulo";"Itanhaém - São Paulo";"-24,1741116";"-46,8227772";"(13) 3422-1696";;"comunidadebd@gmail.com";"Adolescentes";"Não";;"Masculino";"Voluntária";;
"centro de recuperação razão para viver";"Avenida";"Itália";666;;"jardim coronel";"11740-000";"São Paulo";"Itanhaém - São Paulo";"-24,1694229113";"-46,9137552734";"(13) 3422-2824";;"razaodeviverpg@bol.com.br";"Adultos";"Sim";"cadeirante";"Masculino";"Voluntária";;
"Comunidade Terapêutica Tempo de Liberdade";"Rodovia";"Régis Bittencourt";"km 294";"Mato Dentro";"Balivera";"06985-000";"São Paulo";"Itapecerica da Serra - São Paulo";"-23,7600897824";"-46,9283067109";"(11) 9268-4656";;;"Adultos";;;"Masculino";"Voluntária";;
"Clinica Terapêutica Nova Aliança";"Estrada";"das moreiras";726;;"Jardim ana Rosa";"06485-000";"São Paulo";"Itapecerica da Serra - São Paulo";"-23,7247263";"-46,8241635";"(11) 4748-0058";"(11) 4748-0058";"flavialeal@clinicaaliaça.com.br";"Adultos";;;"Masculino";"Involuntária";;
"Comunidade Terapêutica Conquista";"Estrada";"Abias da Silva";49;;"Itaquaceara";"06850-000";"São Paulo";"Itapecerica da Serra - São Paulo";"-23,7616352091";"-46,8500536089";"(11) 4775-1522";"(11) 7495-7560";;"Adultos";"Não";;"Masculino";"Voluntária";;
"Comunidade Terapêutica Plenitude";"Estrada";"dos Andrades";1599;;"da Lagoa";"06860-370";"São Paulo";"Itapecerica da Serra - São Paulo";"-23,7316643469";"-46,8379160399";"(11) 4667-3567";"(11) 4666-6612";"comunidade_plenitude@yahoo.com.br";"Adultos - Idosos";"Não";;"Masculino";"Voluntária - Involuntária - Compulsória";;
"centro terapeutico cristao salva vidas";"Rua";"joaquim bueno machado";711;;"recanto pilaj d`agua";"18410-222";"São Paulo";"Itapeva - São Paulo";"-23,988342629";"-48,8849172982";"(15) 3522-0187";;"ministeriosalvavidas@terra.com.br";"Adolescentes - Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"casa vida deitapira";"Rua";"maceio";57;;"prado- vila jose seque";"13970-000";"São Paulo";"Itapira - São Paulo";"-22,4410183785";"-46,8228588537";"(19) 3843-6923";;"casavidaitapira@yahoo.com.br";"Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"comunidade terapeutica mae da vida";"Rua";"rui barbosa";341;;"engenho velho";"18400-971";"São Paulo";"Itapira - São Paulo";"-22,4361473673";"-46,8226700304";"(15) 3522-1605";"(15) 3522-1711";"beneditogimenez@terra.com.br";"Adolescentes - Adultos - Idosos";"Não";;"Feminino - Masculino";"Voluntária";;
"Casa de Recuperação Vida nova Espirito santo de Deus";"Rua";"Dos bem Tivis";450;;"Recanto Monica";"08570-970";"São Paulo";"Itaquaquecetuba - São Paulo";"-23,4268936331";"-46,3422327923";"(11) 2544-3363";;"recupecaovida@hotmail.com";"Adultos";;;"Feminino";"Voluntária";;
"Casa de Recuperação Vida Nova no Espírito Santo de Deus";"Rua";"Lontras";971;;"Recanto Monica";"08570-970";"São Paulo";"Itaquaquecetuba - São Paulo";"-23,4705646";"-46,2834804";"(11) 2544-3363";;"recupecaovida@hotmail.com";"Adultos";;;"Masculino";"Voluntária";;
"centro de prevenção e reabilitação desafio itatiba";"Rua";"pelegrino sabatini neto";179;;"vila santa terezinha";"13253-303";"São Paulo";"Itatiba - São Paulo";"-23,0062625";"-46,8265521";"(11) 4524-3395";"(11) 9655-5497";;"Adultos";;;"Masculino";"Voluntária";;
"Clínica de Recuperação Viva";"Estrada";"do Taquaral";8;;"Itu";"06150-370";"São Paulo";"Itu - São Paulo";"-";"-";"(11) 9982-2790";;"contato@ctviva.com.br";"Adolescentes - Adultos - Idosos";"Não";;"Masculino";"Voluntária - Compulsória";;
"instituto novo mundo";"Estrada";"Campiri";"s/n";;"Jardim Brasilia";"13300-970";"São Paulo";"Itu - São Paulo";"-";"-";"(11) 9336-6789";;"faleconosco@institutonovomundo.com.br";"Adolescentes - Adultos - Idosos";"Não";;"Masculino";"Voluntária - Involuntária - Compulsória";;
"COMUNIDADE TERAPÊUTICA I.V.V.I. – INSTITUTO DE VALORIZAÇÃO DA VIDA DE ITUVERAVA";"Praça";"Praça Deputado Hélvio Nunes da Silva";59;;"Centro";"14500-000";"São Paulo";"Ituverava - São Paulo";"-";"-";"(16) 3729-6940";"(16) 9969-2435";"instituro.ivvi@hotmail.com";"Adolescentes - Adultos";"Não";;"Masculino";"Voluntária";;
"COMUNIDADE TERAPÊUTICA I.V.V.I. – INSTITUTO DE VALORIZAÇÃO DA VIDA DE ITUVERAVA";"Fazenda";"Pouso Alto";"km 2";"estrada antiga";"Zona rural";"14500-000";"São Paulo";"Ituverava - São Paulo";"-";"-";"(16) 3729-6940";"(16) 9969-2435";"instituto.ivvi@hotmail.com";"Adolescentes - Adultos";"Não";;"Masculino";"Voluntária";;
"Instituto Caminho para a Vida";"Rua";"Ary Arcanjo";152;;"Parque dos Esportes II";"14500-000";"São Paulo";"Ituverava - São Paulo";"-20,3359664";"-47,7713381";"(16) 3729-3394";"(16) 8825-9060";;"Crianças - Adolescentes - Adultos - Idosos";"Não";;"Feminino - Masculino";"Voluntária - Involuntária - Compulsória";;
"Desafio Jovem Ebenezer";"Rodovia";"Dom Pedro I";"s/n";"km 10";"Parateí do Meio";"12332-000";"São Paulo";"Jacareí - São Paulo";"-23,3200667568";"-46,0400241094";"(12) 3956-3506";"(12) 8174-0126";"diretorpresidente@dje.org.br";"Adultos";"Não";;"Masculino";"Voluntária";;
"Comunidade de Ação Social Fanuel";"Estrada";"Francisco Eugênio Bicudo";984;;"Campo Grande";"12300-000";"São Paulo";"Jacareí - São Paulo";"-23,3246512";"-45,9599288";"(12) 3953-7677";;"comfanuel@hotmail.com";"Adolescentes - Adultos - Idosos";"Não";;"Feminino - Masculino";"Voluntária";;
"Comunidade de Ação Social Fanuel";"Rua";"Azevedo Sampaio";88;;"Vila Formosa";"12307-730";"São Paulo";"Jacareí - São Paulo";"-23,302542";"-45,9582386";"(12) 3953-7677";;"comfanuel@hotmail.com";"Adolescentes - Adultos - Idosos";"Não";;"Feminino - Masculino";"Voluntária";;
"Lar São Francisco de Assis na Providência de Deus";"Rodovia";"Vicinal João Joaquim Teves Filho";"s/n";"km 3";"Centro";"15155-000";"São Paulo";"Jaci - São Paulo";"-20,9563962178";"-49,5956037044";"(17) 3283-9070";;"larsaofrancisco@alss.org.br";"Adolescentes - Adultos - Idosos";"Não";;"Feminino - Masculino";"Voluntária";;
"CTFR - Comunidade Terapêutica Fontana Rosa";"Estrada";"Municipal";"s/n";"Rod. Porto Velho";"Tanquinho Velho";"13830-000";"São Paulo";"Jaguariúna - São Paulo";"-";"-";"(19) 8351-2779";"(19) 7810-1271";"josenastrini@hotmail.com";"Adultos - Idosos";"Não";;"Masculino";"Voluntária - Involuntária - Compulsória";;
"catar- centro de apoio aos toxicomanos";"Estrada";"saida do pizao";"s/n";"4º baixada";"açoica cavazo";"15803-034";"São Paulo";"Jales - São Paulo";"-23,2854367407";"-45,7216118774";"(17) 9629-8015";;;"Adolescentes - Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Associação São Miguel Arcanjo";"Estrada";"Gino Dartura";707;;"Maracanã";"13240-000";"São Paulo";"Jarinu - São Paulo";"-23,0850104468";"-46,7311658705";"(11) 8971-3657";;"belenbelenbelen@institutonovomundo.com.br";"Adultos - Idosos";"Sim";"cadeirante";"Masculino";"Voluntária";;
"Reviver Comunidade Terapêutica";"Sítio";"Nova Aurora da Nossa Senhora do Carmo";"s/nº";"Caixa Postal 153";"Campo dos Aleixos";"13240-000";"São Paulo";"Jarinu - São Paulo";"-";"-";"(11) 4016-4040";;;"Adultos";"Não";;"Masculino";"Voluntária";;
"Reviver Comunidade Terapeutica";"Estrada";"Liberato Spinassi";"s/n";"km 3";"Campos dos Aleixos";"13240-000";"São Paulo";"Jarinu - São Paulo";"-23,0812163101";"-46,6962231019";"(11) 4016-4040";;;"Adultos - Idosos";"Sim";"Família";"Masculino";"Voluntária";;
"Sr. da Silva Filho Climica Médica M.E.";"Rodovia";"BR 153";"km 113";"cp 37";"Santa Luzia";"15200-000";"São Paulo";"José Bonifácio - São Paulo";"-21,1225336097";"-49,7594141251";"(17) 9214-0890";;"ct.filhoprodigo@hotmail.com";"Crianças - Adolescentes - Adultos - Idosos";"Não";;"Feminino - Masculino";"Voluntária - Involuntária - Compulsória";;
"Casa do Amor Fraterno - Associação de Assistência aos Dependentes Químicos e Psicológicos";"Rua";"Piratininga";55;"Casa";"Jardim das Amoreiras";"15200-000";"São Paulo";"José Bonifácio - São Paulo";"-21,0572657367";"-49,6915870289";"(17) 9745-2388";"(17) 3245-1306";;"Adolescentes - Adultos - Idosos";"Não";;"Feminino - Masculino";"Voluntária";;
"Associação de Assistência aos Dependentes Químicos e Psicológicos";"Rodovia";"BR-153";"s/n";"Trevo de Bonifácio VA";"rodovia transbrasiliana";"15200-000";"São Paulo";"José Bonifácio - São Paulo";"-21,1035237628";"-49,7364936409";"(17) 9745-2388";;"peziat@oquei.com.br";"Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Centro Especializado no Tratamento de Dependência Quimica de Álcool e Drogas";"Rua";"Professor Giácomo Itria";393;;"Centro";"13200-970";"São Paulo";"Jundiaí - São Paulo";"-23,1913984";"-46,89554";"(11) 4922-6898";"(11) 4522-4277";;"Adolescentes - Adultos";"Não";;"Feminino - Masculino";;;
"Projeto Unidade CT Fonte da Vida";"Rua";"dos Bandeirantes";78;;"centro";"13201-130";"São Paulo";"Jundiaí - São Paulo";"-23,2059268101";"-46,8956602354";"(11) 4496-1456";"(11) 8711-6782";"frajunilupera@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Pia União das Irmãs da Copiosa Redenção - CT Lar Santa Terezinha";"Rodovia";"B. R. 369";"Zona Rural";;"Palmeiras";"17800-970";"São Paulo";"Junqueirópolis - São Paulo";"-21,5270565569";"-51,4390316958";"(42) 9911-4845";"(42) 9630-9050";"sil_nete@yahoo.com.br";"Adolescentes - Adultos";"Sim";"Atende exclusivamente adolescentes do sexo feminino e mulheres.";"Feminino";"Voluntária";;
